Fecha,lugar,Especie,Id,Altura_m,Diametro_cm,diametro_copa1_m,diametro_copa2_m,Longitud,Latitud
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,1,4.5,7.8,1.5,1,-96.50696667,17.57791667
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,2,5.9,13.5,3.5,3,-96.50693333,17.57795278
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,3,6.5,8,2,1.5,-96.50695,17.57787222
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,4,7.5,11.7,6,7,-96.50690556,17.57792778
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,5,5,11,3,3,-96.50685,17.57797778
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,6,4,7.5,2,1.8,-96.50686944,17.57798611
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,7,1.9,1,0.5,0.3,-96.50686667,17.57793889
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,8,4.5,6,1.2,1,-96.5069,17.57792222
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,9,1.2,1,0.3,1.2,-96.50693056,17.57780278
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,10,0.87,0.4,0.5,0.4,-96.50686667,17.5778
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,11,8,11,7,8,-96.50683333,17.57781944
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,12,5,8,2.5,2,-96.50689167,17.57776389
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,13,2.6,2.8,0.8,0.9,-96.50684167,17.57780556
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,14,1.1,1,0.6,0.7,-96.50681111,17.57781389
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,15,2.6,3.5,1.2,1,-96.5068,17.57778056
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,16,2.5,2.5,0.9,1,-96.50685278,17.57776667
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,17,7,26,6,6,-96.50690833,17.57773611
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,18,7.5,37,8,7,-96.506875,17.57768889
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,19,2.1,2,0.8,0.6,-96.50692222,17.57759167
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,20,5,11,3,2.5,-96.50690556,17.57770278
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,21,0.3,1,0.3,0.2,-96.506925,17.57766667
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,22,0.2,0.9,0.1,0.1,-96.50693611,17.57767222
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,23,8.5,17,7,8,-96.50668056,17.57743056
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,24,8.5,13,2.5,2.8,-96.50673611,17.57739722
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,25,12,82,18,20,-96.506675,17.57733056
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,26,11,92,10,14,-96.50658889,17.57735833
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,27,10,25,NA,NA,-96.50654722,17.57739444
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,28,12,33,5,6,-96.50647222,17.577375
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,29,11,18,4,5,-96.50646111,17.57755
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,30,12,52,5,6,-96.50652222,17.57736111
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,31,10,50,6,6,-96.50625833,17.57735
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,32,10,50,5,6,-96.83960556,17.57741944
29/02/2024,"Cerro pelón, Santiago Comaltepec",Q. macdougallii,33,12,90,10,12,-96.50627222,17.57731944
